player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate,batting_points,bowling_points,total_points
KR Sen,0,3,0,0,14,255,396,0.0,9.31764705882353,-3,352,349
SS Prabhudessai,126,113,11,4,0,0,0,111.50442477876106,,155,0,155
Yash Dayal,0,1,0,0,31,615,933,0.0,9.102439024390245,-3,777,774
Shashank Singh,423,272,33,25,1,19,25,155.51470588235296,7.894736842105264,520,25,545
Aman Hakim Khan,115,109,8,6,0,6,13,105.50458715596328,13.0,145,0,145
OC McCoy,8,5,0,1,11,180,255,160.0,8.5,10,279,289
HR Shokeen,66,67,9,0,5,213,320,98.50746268656717,9.014084507042254,79,127,206
R Dhawan,210,188,18,7,27,693,922,111.70212765957446,7.982683982683983,252,681,933
DJ Mitchell,351,274,28,10,1,51,97,128.1021897810219,11.411764705882351,411,19,430
B Indrajith,21,31,2,0,0,0,0,67.74193548387096,,23,0,23
Harshit Rana,2,3,0,0,27,403,590,66.66666666666666,8.784119106699752,2,679,681
K Kartikeya,9,13,1,0,10,241,334,69.23076923076923,8.315352697095436,10,254,264
Simarjeet Singh,7,8,0,0,10,193,265,87.5,8.238341968911918,7,254,261
SA Abbott,22,18,1,2,1,59,104,122.22222222222224,10.576271186440678,27,19,46
Fazalhaq Farooqi,3,13,0,0,6,162,229,23.07692307692308,8.481481481481481,3,154,157
KS Sharma,16,25,1,0,0,0,0,64.0,,17,0,17
R Sai Kishore,13,6,0,2,13,191,259,216.66666666666663,8.136125654450263,17,329,346
T Stubbs,405,239,26,26,4,25,29,169.4560669456067,6.959999999999999,497,104,601
PH Solanki,0,0,0,0,2,36,39,,6.5,0,50,50
M Pathirana,0,0,0,0,38,503,617,,7.359840954274354,0,956,956
R Sanjay Yadav,0,2,0,0,0,14,23,0.0,9.857142857142856,-3,0,-3
A Tomar,4,8,1,0,0,0,0,50.0,,5,0,5
PN Mankad,97,75,13,2,0,0,0,129.33333333333331,,122,0,122
J Little,0,0,0,0,13,236,341,,8.669491525423728,0,329,329
RS Hangargekar,0,0,0,0,3,43,60,,8.372093023255813,0,71,71
Sikandar Raza,182,143,12,8,3,88,146,127.27272727272728,9.954545454545457,222,69,291
Rahmanullah Gurbaz,289,228,24,19,0,0,0,126.75438596491227,,363,0,363
KR Mayers,379,276,38,22,0,46,59,137.31884057971016,7.695652173913043,473,-2,471
Mukesh Kumar,10,20,0,0,31,420,707,50.0,10.1,10,777,787
RR Rossouw,473,321,45,25,0,0,0,147.35202492211835,,582,0,582
HC Brook,190,159,23,4,0,0,0,119.49685534591194,,231,0,231
NA Saini,0,0,0,0,0,15,35,,14.0,0,0,0
RJW Topley,3,6,0,0,5,107,182,50.0,10.205607476635514,3,127,130
C Green,707,472,62,32,20,462,675,149.78813559322032,8.766233766233766,847,504,1351
MG Bracewell,58,49,6,1,6,66,95,118.36734693877553,8.636363636363637,72,154,226
N Wadhera,350,261,32,18,0,12,13,134.09961685823754,6.5,430,0,430
Arshad Khan,96,67,5,6,6,153,282,143.28358208955223,11.058823529411764,123,152,275
Yash Thakur,0,0,0,0,27,432,702,,9.75,0,677,677
Abishek Porel,360,244,37,15,0,0,0,147.54098360655738,,441,0,441
Dhruv Jurel,347,237,29,16,0,0,0,146.41350210970467,,422,0,422
Suyash Sharma,0,0,0,0,11,264,381,,8.659090909090908,0,279,279
SSB Magala,0,0,0,0,1,37,52,,8.432432432432432,0,21,21
MW Short,117,99,15,4,0,25,25,118.1818181818182,6.0,150,0,150
Mohit Rathee,1,2,0,0,0,12,29,50.0,14.5,1,0,1
WD Parnell,65,86,4,1,40,758,968,75.5813953488372,7.662269129287599,75,1006,1081
YV Dhull,16,23,1,0,0,0,0,69.56521739130434,,17,0,17
Vijaykumar Vyshak,14,13,0,1,17,243,396,107.6923076923077,9.77777777777778,16,427,443
Yudhvir Singh,22,16,1,2,4,74,125,137.5,10.135135135135137,27,98,125
Atharva Taide,247,177,27,8,0,1,4,139.54802259887003,24.0,302,0,302
Harpreet Singh,123,119,10,3,0,0,0,103.36134453781514,,149,0,149
Arjun Tendulkar,13,9,0,1,4,83,117,144.44444444444443,8.457831325301205,15,100,115
D Jansen,0,0,0,0,1,28,53,,11.357142857142856,0,25,25
Noor Ahmad,13,18,2,0,24,513,672,72.22222222222221,7.859649122807017,15,606,621
Naveen-ul-Haq,18,26,2,0,26,407,602,69.23076923076923,8.874692874692876,20,654,674
Liton Das,4,4,1,0,0,0,0,100.0,,5,0,5
PD Salt,653,385,74,34,0,0,0,169.6103896103896,,809,0,809
Mayank Dagar,0,1,0,0,2,138,205,0.0,8.91304347826087,-3,46,43
Abdul Basith,1,1,0,0,0,0,0,100.0,,1,0,1
D Wiese,148,105,12,7,17,307,447,140.95238095238096,8.736156351791532,188,429,617
Gurnoor Brar,0,0,0,0,0,21,42,,12.0,0,0,0
AJ Hosein,16,11,1,1,1,24,41,145.45454545454547,10.25,19,25,44
Akash Madhwal,4,5,0,0,22,279,431,80.0,9.268817204301076,4,552,556
R Goyal,0,0,0,0,0,24,34,,8.5,0,0,0
Vivrant Sharma,69,49,9,2,0,21,37,140.81632653061226,10.571428571428571,92,0,92
JE Root,10,15,1,0,0,12,15,66.66666666666666,7.5,11,0,11
MD Shanaka,26,26,2,1,0,0,0,100.0,,32,0,32
Sanvir Singh,25,22,2,1,0,0,0,113.63636363636364,,31,0,31
Nithish Kumar Reddy,303,221,15,21,4,118,208,137.10407239819006,10.576271186440678,372,98,470
H Sharma,0,0,0,0,0,30,62,,12.4,0,-6,-6
R Ravindra,222,146,22,12,0,12,7,152.05479452054794,3.5,282,0,282
SD Hope,183,125,12,12,0,0,0,146.4,,233,0,233
Sumit Kumar,18,26,2,1,0,22,38,69.23076923076923,10.363636363636363,22,0,22
MA Starc,105,109,11,0,59,879,1175,96.3302752293578,8.020477815699659,124,1479,1603
N Burger,0,0,0,0,7,105,152,,8.685714285714285,0,179,179
L Wood,9,3,0,1,1,38,94,300.0,14.842105263157896,11,19,30
SZ Mulani,1,1,0,0,0,33,57,100.0,10.363636363636363,1,-6,-5
Azmatullah Omarzai,42,34,2,2,4,131,194,123.52941176470588,8.885496183206108,52,100,152
Naman Dhir,140,84,12,10,0,29,55,166.66666666666669,11.379310344827587,186,0,186
G Coetzee,14,22,0,1,13,216,357,63.63636363636363,9.916666666666666,16,327,343
SH Johnson,6,7,1,0,4,99,155,85.71428571428571,9.393939393939394,7,98,105
Sameer Rizvi,51,43,4,2,0,0,0,118.6046511627907,,65,0,65
KT Maphaka,0,0,0,0,1,39,90,,13.846153846153848,0,19,19
M Siddharth,0,0,0,0,1,58,72,,7.448275862068966,0,23,23
MP Yadav,0,0,0,0,8,76,88,,6.947368421052632,0,208,208
SB Dubey,33,21,3,2,0,0,0,157.14285714285714,,46,0,46
A Raghuvanshi,163,109,16,8,0,0,0,149.54128440366972,,209,0,209
Ashutosh Sharma,189,118,10,15,0,0,0,160.16949152542372,,243,0,243
Saurav Chauhan,18,16,1,1,0,0,0,112.5,,21,0,21
Kumar Kushagra,3,7,0,0,0,0,0,42.85714285714285,,3,0,3
BR Sharath,2,5,0,0,0,0,0,40.0,,2,0,2
KA Maharaj,1,2,0,0,2,36,39,50.0,6.5,1,50,51
WG Jacks,230,133,16,18,2,55,100,172.93233082706766,10.90909090909091,296,44,340
J Fraser-McGurk,330,150,32,28,0,0,0,220.00000000000003,,432,0,432
Tanush Kotian,24,32,3,0,0,0,0,75.0,,27,0,27
Arshad Khan (2),5,4,1,0,0,13,25,125.0,11.53846153846154,6,0,6
S Joseph,0,0,0,0,0,30,51,,10.2,0,-6,-6
N Thushara,0,0,0,0,8,172,259,,9.034883720930232,0,202,202
LB Williams,1,2,0,0,1,42,74,50.0,10.571428571428571,1,19,20
AA Kulkarni,9,8,2,0,0,0,0,112.5,,11,0,11
RJ Gleeson,2,2,0,0,1,51,72,100.0,8.470588235294118,2,21,23
MJ Suthar,1,2,0,0,0,12,26,50.0,13.0,1,0,1
A Kamboj,2,2,0,0,2,68,115,100.0,10.147058823529411,2,44,46
Gulbadin Naib,19,15,1,1,0,6,12,126.66666666666666,12.0,22,0,22
D Ferreira,8,11,0,0,0,0,0,72.72727272727273,,8,0,8
V Viyaskanth,7,5,0,0,1,60,90,140.0,9.0,7,21,28
V Kaverappa,0,0,0,0,2,24,36,,9.0,0,50,50
T Kohler-Cadmore,48,54,7,1,0,0,0,88.88888888888889,,57,0,57
Shivam Singh,2,3,0,0,0,0,0,66.66666666666666,,2,0,2
SC Ganguly,1349,1326,137,42,12,280,370,101.73453996983407,7.928571428571429,1580,306,1886
AA Noffke,9,12,1,0,1,25,41,75.0,9.84,10,25,35
RT Ponting,91,129,5,2,0,0,0,70.54263565891473,,104,0,104
JH Kallis,2427,2291,255,44,74,1799,2348,105.93627237014404,7.831017231795442,2780,1856,4636
SB Joshi,6,16,0,0,1,55,82,37.5,8.945454545454545,6,21,27
DJ Hussey,1322,1101,90,60,10,323,485,120.07266121707538,9.009287925696594,1544,252,1796
CL White,971,774,76,38,1,46,86,125.45219638242897,11.217391304347826,1135,19,1154
Mohammad Hafeez,64,84,7,2,2,63,71,76.19047619047619,6.761904761904762,79,50,129
R Dravid,2174,1918,269,28,0,0,0,113.34723670490096,,2509,0,2509
W Jaffer,130,129,14,3,0,0,0,100.7751937984496,,160,0,160
AB Agarkar,179,160,13,5,33,820,1174,111.875,8.590243902439026,212,829,1041
MV Boucher,394,318,32,13,0,0,0,123.89937106918238,,464,0,464
B Akhil,76,57,5,5,7,193,246,133.33333333333331,7.647668393782384,99,181,280
LR Shukla,405,358,33,16,17,326,458,113.12849162011172,8.429447852760736,480,429,909
B Lee,124,102,8,8,30,916,1126,121.5686274509804,7.375545851528384,160,756,916
ML Hayden,1107,839,121,44,0,0,0,131.94278903456495,,1328,0,1328
S Sreesanth,34,57,6,0,43,947,1221,59.64912280701754,7.736008447729672,40,1081,1121
MEK Hussey,1977,1648,198,52,0,0,0,119.96359223300972,,2289,0,2289
JR Hopes,417,314,49,11,14,369,562,132.80254777070064,9.138211382113822,500,352,852
K Goel,218,239,17,9,0,67,94,91.21338912133892,8.417910447761194,261,-4,257
WA Mota,56,76,2,0,4,75,98,73.68421052631578,7.84,62,102,164
JDP Oram,106,110,6,5,13,244,362,96.36363636363636,8.901639344262296,130,329,459
S Badrinath,1441,1245,154,28,0,0,0,115.7429718875502,,1661,0,1661
KC Sangakkara,1687,1424,195,27,0,0,0,118.4691011235955,,1946,0,1946
M Muralitharan,20,30,1,0,67,1581,1765,66.66666666666666,6.698292220113852,21,1683,1704
P Amarnath,0,0,0,0,7,132,241,,10.954545454545457,0,177,177
Joginder Sharma,36,30,1,2,13,272,421,120.0,9.286764705882351,43,327,370
SM Katich,241,191,26,8,0,0,0,126.1780104712042,,295,0,295
T Kohli,11,20,0,1,0,0,0,55.00000000000001,,13,0,13
GD McGrath,4,5,1,0,14,329,366,80.0,6.674772036474164,5,358,363
B Geeves,0,0,0,0,2,49,91,,11.142857142857144,0,44,44
M Kaif,259,258,22,6,0,0,0,100.3875968992248,,303,0,303
MF Maharoof,177,124,12,9,33,441,532,142.74193548387098,7.238095238095238,221,831,1052
DS Lehmann,18,19,3,0,0,0,0,94.73684210526316,,21,0,21
M Rawat,55,70,4,1,0,0,0,78.57142857142857,,65,0,65
DL Vettori,121,118,11,2,34,785,894,102.54237288135592,6.83312101910828,146,858,1004
D Salunkhe,33,24,5,0,1,51,80,137.5,9.411764705882351,42,19,61
SK Warne,198,219,14,6,60,1223,1465,90.41095890410958,7.187244480784955,232,1506,1738
SK Trivedi,42,61,3,1,73,1557,1944,68.85245901639344,7.491329479768786,47,1831,1878
V Sehwag,2728,1833,334,106,6,138,236,148.82705946535734,10.26086956521739,3288,152,3440
L Ronchi,34,37,6,1,0,0,0,91.8918918918919,,42,0,42
ST Jayasuriya,768,573,84,39,16,301,396,134.03141361256544,7.893687707641196,942,406,1348
DJ Thornely,39,54,2,2,3,44,40,72.22222222222221,5.454545454545455,45,75,120
PR Shah,92,97,9,2,0,0,0,94.84536082474226,,109,0,109
AM Nayar,672,588,55,20,9,239,323,114.28571428571428,8.10878661087866,777,229,1006
SM Pollock,147,116,12,8,13,280,307,126.72413793103448,6.578571428571429,187,333,520
S Chanderpaul,25,33,4,0,0,0,0,75.75757575757575,,29,0,29
LRPL Taylor,1017,847,66,46,0,13,24,120.07083825265644,11.076923076923078,1187,0,1187
AC Gilchrist,2069,1555,239,92,1,1,0,133.05466237942122,0.0,2504,25,2529
Y Venugopal Rao,985,865,77,37,7,222,338,113.8728323699422,9.135135135135137,1146,177,1323
VVS Laxman,282,271,33,5,0,0,0,104.0590405904059,,335,0,335
A Symonds,974,781,74,41,23,540,694,124.71190781049935,7.711111111111111,1142,581,1723
M Kartik,113,109,7,1,39,1182,1418,103.6697247706422,7.197969543147208,132,981,1113
SB Styris,131,134,10,3,9,222,278,97.76119402985076,7.513513513513513,155,231,386
AS Yadav,49,40,5,2,0,0,0,122.5,,62,0,62
SB Bangar,49,58,1,3,6,153,221,84.48275862068965,8.666666666666666,56,154,210
WPUJC Vaas,81,73,2,3,22,288,364,110.95890410958904,7.583333333333333,95,556,651
RP Singh,52,78,2,1,100,1874,2417,66.66666666666666,7.738527214514408,60,2506,2566
PP Ojha,16,45,0,0,99,1945,2399,35.55555555555556,7.40051413881748,12,2481,2493
DPMD Jayawardene,1808,1522,200,40,0,0,0,118.7910643889619,,2098,0,2098
Pankaj Singh,7,12,0,0,11,311,472,58.333333333333336,9.106109324758842,7,277,284
S Sohal,368,311,34,18,0,0,0,118.32797427652731,,448,0,448
Kamran Akmal,128,78,13,8,0,0,0,164.1025641025641,,171,0,171
Mohammad Asif,3,6,0,0,9,199,307,50.0,9.256281407035177,3,227,230
VY Mahesh,15,28,0,0,22,359,511,53.57142857142857,8.540389972144846,15,554,569
Shahid Afridi,81,46,7,6,9,185,237,176.08695652173913,7.686486486486487,110,231,341
VS Yeligati,2,2,0,0,0,32,61,100.0,11.4375,2,-6,-4
MA Khote,24,22,2,1,2,30,52,109.09090909090908,10.4,30,44,74
GC Smith,739,691,94,9,0,0,0,106.9464544138929,,861,0,861
D Kalyankrishna,3,8,0,0,2,50,88,37.5,10.56,3,44,47
RR Sarwan,73,78,6,1,0,0,0,93.5897435897436,,85,0,85
VRV Singh,4,3,1,0,16,371,549,133.33333333333331,8.878706199460916,5,404,409
Sohail Tanvir,36,31,3,1,24,265,275,116.12903225806453,6.226415094339623,43,608,651
A Kumble,35,49,3,0,49,983,1089,71.42857142857143,6.646998982706002,38,1233,1271
DNT Zoysa,11,9,1,0,2,69,100,122.22222222222224,8.695652173913043,12,46,58
SD Chitnis,99,92,10,2,2,38,62,107.6086956521739,9.789473684210527,119,44,163
Shoaib Malik,52,49,5,0,2,58,87,106.12244897959184,9.0,63,46,109
TM Srivastava,8,11,0,0,0,0,0,72.72727272727273,,8,0,8
B Chipli,280,256,28,7,0,6,20,109.375,20.0,332,0,332
JA Morkel,975,712,61,55,96,1807,2409,136.938202247191,7.998893193137797,1158,2406,3564
DB Das,304,267,23,16,0,0,0,113.85767790262172,,369,0,369
CRD Fernando,4,3,0,0,19,249,306,133.33333333333331,7.373493975903615,4,481,485
HH Gibbs,886,837,83,31,0,0,0,105.8542413381123,,1041,0,1041
Gagandeep Singh,0,0,0,0,3,84,142,,10.142857142857142,0,69,69
SA Asnodkar,423,352,56,10,0,0,0,120.17045454545456,,511,0,511
Umar Gul,39,19,1,5,14,153,198,205.26315789473685,7.764705882352941,50,356,406
Salman Butt,193,172,30,2,0,0,0,112.2093023255814,,237,0,237
BJ Hodge,1400,1153,122,43,18,238,310,121.42237640936686,7.815126050420169,1620,456,2076
SP Fleming,196,171,27,3,0,0,0,114.61988304093566,,239,0,239
S Vidyut,145,115,21,3,1,13,22,126.08695652173914,10.153846153846157,184,25,209
M Ntini,11,19,2,0,8,213,257,57.89473684210527,7.23943661971831,13,206,219
LPC Silva,40,27,5,1,0,6,21,148.14814814814815,21.0,53,0,53
DB Ravi Teja,375,325,35,9,1,18,28,115.38461538461536,9.333333333333334,438,25,463
Misbah-ul-Haq,117,82,10,6,0,0,0,142.6829268292683,,153,0,153
DP Vijaykumar,1,1,0,0,4,159,205,100.0,7.735849056603773,1,102,103
YV Takawale,192,183,26,3,0,0,0,104.91803278688523,,234,0,234
RR Raje,20,18,1,1,7,144,214,111.11111111111111,8.916666666666666,23,179,202
DT Patil,13,13,1,0,0,0,0,100.0,,14,0,14
S Anirudha,136,121,9,7,0,0,0,112.39669421487604,,169,0,169
L Balaji,36,50,2,1,85,1574,2083,72.0,7.940279542566709,40,2131,2171
CK Kapugedera,16,24,0,0,0,17,49,66.66666666666666,17.294117647058822,16,0,16
A Chopra,53,75,7,0,0,0,0,70.66666666666667,,64,0,64
T Taibu,31,26,3,0,0,0,0,119.23076923076924,,36,0,36
J Arunkumar,23,24,5,0,0,0,0,95.83333333333334,,28,0,28
SR Tendulkar,2334,2044,296,29,0,37,59,114.18786692759296,9.567567567567568,2698,-6,2692
U Kaul,0,1,0,0,0,0,0,0.0,,-3,0,-3
AD Mascarenhas,79,79,5,1,19,310,365,100.0,7.064516129032258,92,481,573
TM Dilshan,1153,1047,140,24,5,275,368,110.12416427889208,8.02909090909091,1351,129,1480
NK Patel,121,124,14,1,0,0,0,97.58064516129032,,145,0,145
LA Pomersbach,302,251,25,13,0,0,0,120.3187250996016,,365,0,365
Shoaib Akhtar,2,8,0,0,5,46,54,25.0,7.0434782608695645,2,131,133
Younis Khan,3,7,0,0,0,0,0,42.85714285714285,,3,0,3
RR Powar,67,64,6,1,15,443,538,104.6875,7.286681715575622,81,381,462
PM Sarvesh Kumar,1,2,0,0,1,31,42,50.0,8.129032258064516,1,21,22
Abdur Razzak,0,2,0,0,0,14,29,0.0,12.428571428571429,-3,0,-3
H Das,2,5,0,0,0,0,0,40.0,,2,0,2
A Nel,0,0,0,0,1,18,31,,10.333333333333334,0,25,25
A Mukund,19,23,1,0,0,0,0,82.6086956521739,,20,0,20
BAW Mendis,3,6,0,0,9,248,306,50.0,7.403225806451612,3,231,234
T Thushara,12,19,0,0,10,144,164,63.1578947368421,6.833333333333333,12,258,270
A Flintoff,62,57,5,2,2,66,106,108.7719298245614,9.636363636363637,77,44,121
JD Ryder,604,466,69,19,11,241,314,129.6137339055794,7.817427385892117,723,281,1004
KP Pietersen,1001,758,91,40,9,180,218,132.05804749340368,7.266666666666667,1184,231,1415
Kamran Khan,3,5,0,0,14,177,248,60.0,8.40677966101695,3,354,357
T Henderson,11,16,0,1,1,36,41,68.75,6.833333333333333,13,25,38
RS Bopara,531,468,39,16,13,213,301,113.46153846153844,8.47887323943662,612,329,941
DP Nannes,4,13,0,0,38,689,815,30.76923076923077,7.097242380261249,4,956,960
AM Salvi,0,0,0,0,7,156,205,,7.884615384615385,0,181,181
YA Abdulla,0,1,0,0,15,222,311,0.0,8.405405405405405,-3,379,376
VS Malik,7,7,1,0,6,212,268,100.0,7.584905660377358,8,156,164
FH Edwards,4,5,0,0,6,150,160,80.0,6.4,4,158,162
Harmeet Singh,18,12,3,0,31,574,747,150.0,7.808362369337979,21,781,802
R Bishnoi,19,17,1,2,0,0,0,111.76470588235294,,24,0,24
PC Valthaty,505,432,61,20,7,153,207,116.89814814814814,8.117647058823529,616,179,795
RJ Quiney,103,105,12,3,0,0,0,98.09523809523807,,129,0,129
AS Raut,194,172,13,7,0,30,45,112.7906976744186,9.0,231,-4,227
Yashpal Singh,47,67,5,0,0,0,0,70.1492537313433,,52,0,52
RR Bose,0,0,0,0,0,12,24,,12.0,0,0,0
KP Appanna,2,4,0,0,11,222,291,50.0,7.864864864864865,2,281,283
M Manhas,514,486,43,10,0,42,42,105.76131687242798,6.0,587,0,587
Shoaib Ahmed,1,6,0,0,5,103,154,16.666666666666664,8.970873786407767,1,129,130
AA Bilakhia,69,88,5,0,0,0,0,78.4090909090909,,78,0,78
AN Ghosh,7,8,1,0,0,0,0,87.5,,8,0,8
RE van der Merwe,159,144,11,8,25,455,515,110.41666666666669,6.791208791208792,196,633,829
MN van Wyk,167,135,19,1,0,0,0,123.7037037037037,,200,0,200
TL Suman,676,587,55,26,7,152,198,115.1618398637138,7.815789473684211,793,181,974
S Tyagi,3,4,0,0,6,220,304,75.0,8.290909090909091,3,154,157
GR Napier,15,16,1,0,1,24,28,93.75,7.0,16,25,41
SM Harwood,9,14,0,0,3,67,74,64.28571428571429,6.626865671641792,9,75,84
LA Carseldine,81,71,11,0,1,7,6,114.08450704225352,5.142857142857142,98,25,123
D du Preez,10,13,0,0,4,43,56,76.92307692307693,7.813953488372093,10,102,112
RJ Harris,117,112,6,3,47,865,1085,104.46428571428572,7.526011560693642,139,1181,1320
A Singh,2,10,0,0,31,486,639,20.0,7.888888888888889,2,781,783
M Morkel,126,93,11,5,88,1699,2136,135.48387096774192,7.543260741612713,159,2206,2365
A Mithun,34,26,4,1,8,312,477,130.76923076923077,9.173076923076923,44,202,246
C Nanda,0,1,0,0,2,50,58,0.0,6.959999999999999,-3,50,47
SS Sarkar,0,0,0,0,1,25,34,,8.16,0,25,25
J Botha,409,364,39,5,27,709,818,112.36263736263736,6.922425952045134,468,683,1151
Mashrafe Mortaza,2,2,0,0,1,28,59,100.0,12.642857142857142,2,25,27
GJ Bailey,663,552,59,19,0,0,0,120.1086956521739,,772,0,772
AB McDonald,123,103,9,4,14,188,263,119.41747572815532,8.393617021276595,150,354,504
Y Nagar,285,271,20,9,4,72,125,105.1660516605166,10.416666666666666,333,98,431
CK Langeveldt,8,9,0,1,13,165,199,88.88888888888889,7.236363636363636,10,331,341
SS Shaikh,6,7,1,0,0,0,0,85.71428571428571,,7,0,7
Mohammad Ashraful,2,12,0,0,0,0,0,16.666666666666664,,2,0,2
RA Shaikh,0,0,0,0,0,6,11,,11.0,0,0,0
Jaskaran Singh,8,11,0,0,6,111,174,72.72727272727273,9.405405405405403,8,152,160
CA Pujara,390,403,50,4,0,0,0,96.7741935483871,,456,0,456
OA Shah,506,405,34,23,0,0,0,124.93827160493828,,598,0,598
Anirudh Singh,63,69,6,1,0,0,0,91.30434782608695,,75,0,75
SW Tait,23,26,1,1,26,534,668,88.46153846153845,7.50561797752809,26,656,682
A Uniyal,4,7,0,0,3,38,67,57.14285714285714,10.578947368421051,4,69,73
AA Jhunjhunwala,217,218,19,5,1,88,130,99.54128440366972,8.863636363636363,254,21,275
R Sathish,270,236,22,6,6,144,233,114.40677966101696,9.708333333333334,314,152,466
R McLaren,159,178,14,1,14,372,558,89.32584269662921,9.0,183,354,537
AG Murtaza,10,14,1,0,12,269,322,71.42857142857143,7.182156133828996,11,306,317
P Dogra,127,141,4,5,0,0,0,90.0709219858156,,149,0,149
MS Bisla,798,737,93,23,0,0,0,108.27679782903662,,947,0,947
RS Gavaskar,2,8,0,0,0,6,8,25.0,8.0,2,0,2
JM Kemp,26,25,1,1,3,47,58,104.0,7.404255319148937,31,73,104
S Ladda,0,10,0,0,5,141,225,0.0,9.574468085106384,-3,127,124
SE Bond,1,2,0,0,9,191,225,50.0,7.068062827225131,1,231,232
MJ Lumb,278,198,45,6,0,0,0,140.4040404040404,,349,0,349
DR Martyn,19,26,1,0,0,0,0,73.07692307692307,,20,0,20
S Narwal,37,29,6,0,6,113,203,127.58620689655172,10.778761061946904,47,152,199
SJ Srivastava,5,5,0,0,15,306,444,100.0,8.705882352941176,5,379,384
AB Barath,42,43,5,1,0,0,0,97.67441860465117,,49,0,49
FY Fazal,183,179,22,1,1,12,20,102.23463687150836,10.0,217,25,242
AC Voges,181,143,15,3,1,56,76,126.5734265734266,8.142857142857142,214,21,235
MD Mishra,237,213,24,8,0,0,0,111.26760563380284,,287,0,287
R Sharma,66,77,5,3,42,935,1100,85.71428571428571,7.0588235294117645,81,1056,1137
J Theron,10,13,1,0,13,235,311,76.92307692307693,7.940425531914894,11,331,342
NLTC Perera,424,326,23,26,37,715,1031,130.06134969325154,8.651748251748252,511,929,1440
KB Arun Karthik,51,53,4,1,0,0,0,96.22641509433964,,61,0,61
KAJ Roach,10,9,1,0,0,52,80,111.11111111111111,9.230769230769232,11,-6,5
PD Collingwood,203,159,9,13,5,90,101,127.67295597484276,6.733333333333333,250,133,383
C Ganapathy,0,0,0,0,0,6,13,,13.0,0,0,0
MB Parmar,0,0,0,0,0,19,33,,10.421052631578949,0,0,0
SB Wagh,2,3,0,0,5,108,147,66.66666666666666,8.166666666666666,2,129,131
DE Bollinger,21,23,1,1,43,600,716,91.30434782608695,7.16,24,1081,1105
AP Dole,34,23,3,1,5,73,114,147.82608695652172,9.36986301369863,45,127,172
AN Ahmed,36,27,4,1,15,362,515,133.33333333333331,8.535911602209945,46,379,425
L Ablish,0,2,0,0,5,45,76,0.0,10.133333333333333,-3,127,124
RS Sodhi,4,2,1,0,0,0,0,200.0,,5,0,5
S Sriram,31,38,3,0,0,18,49,81.57894736842105,16.333333333333332,34,0,34
B Sumanth,35,38,3,0,0,0,0,92.10526315789474,,38,0,38
C Madan,15,21,3,0,0,0,0,71.42857142857143,,18,0,18
AG Paunikar,49,61,9,0,0,0,0,80.32786885245902,,58,0,58
ND Doshi,0,13,0,0,2,57,79,0.0,8.31578947368421,-3,46,43
S Randiv,2,4,0,0,8,180,223,50.0,7.433333333333334,2,206,208
AL Menaria,401,367,24,18,3,113,144,109.26430517711172,7.646017699115045,471,73,544
AUK Pathan,39,26,5,2,0,41,63,150.0,9.219512195121952,54,-6,48
RV Gomez,50,53,5,1,6,97,130,94.33962264150944,8.041237113402062,61,154,215
UBT Chand,300,314,32,9,0,0,0,95.54140127388536,,358,0,358
JEC Franklin,327,309,25,9,9,155,225,105.8252427184466,8.70967741935484,380,229,609
DJ Jacobs,92,101,10,4,0,0,0,91.0891089108911,,114,0,114
AC Thomas,20,19,1,1,16,327,416,105.26315789473684,7.63302752293578,23,406,429
Sunny Singh,43,31,6,1,0,0,0,138.70967741935485,,55,0,55
NJ Rimmington,1,1,0,0,0,18,20,100.0,6.666666666666667,1,0,1
RN ten Doeschate,326,238,26,15,3,83,94,136.9747899159664,6.795180722891566,394,75,469
BA Bhatt,6,7,0,1,13,303,408,85.71428571428571,8.07920792079208,8,329,337
JJ van der Wath,18,17,1,1,3,76,134,105.88235294117648,10.578947368421051,21,69,90
R Ninan,3,6,0,0,3,36,65,50.0,10.833333333333334,3,69,72
TD Paine,10,29,0,0,0,0,0,34.48275862068966,,6,0,6
DH Yagnik,170,142,23,2,0,0,0,119.71830985915491,,207,0,207
BJ Haddin,18,11,2,1,0,0,0,163.63636363636363,,22,0,22
J Syed Mohammad,29,27,4,0,10,196,286,107.40740740740742,8.755102040816327,35,254,289
NL McCullum,26,23,0,1,0,30,35,113.04347826086956,7.0,30,-2,28
JE Taylor,3,4,0,0,6,122,167,75.0,8.213114754098362,3,154,157
KMDN Kulasekara,5,3,1,0,6,107,122,166.66666666666669,6.841121495327103,6,158,164
TR Birt,75,59,9,2,0,0,0,127.1186440677966,,96,0,96
M Klinger,73,78,9,0,0,0,0,93.5897435897436,,86,0,86
P Parameswaran,1,3,0,0,9,159,226,33.33333333333333,8.528301886792454,1,229,230
AC Blizzard,120,91,21,2,0,0,0,131.86813186813183,,157,0,157
I Malhotra,7,4,1,0,0,6,23,175.0,23.0,8,0,8
CJ Ferguson,98,119,9,0,0,0,0,82.35294117647058,,111,0,111
AA Kazi,0,0,0,0,1,13,21,,9.692307692307692,0,25,25
Anand Rajan,0,0,0,0,10,162,206,,7.62962962962963,0,256,256
P Prasanth,0,0,0,0,0,6,18,,18.0,0,0,0
Y Gnaneswara Rao,19,18,3,0,0,6,7,105.55555555555556,7.0,22,0,22
