player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate,batting_points,bowling_points,total_points
M Vohra,1083,863,104,43,0,0,0,125.49246813441484,,1285,0,1285
WP Saha,2934,2368,296,87,0,0,0,123.90202702702702,,3416,0,3416
RD Chahar,129,127,13,5,76,1697,2165,101.5748031496063,7.65468473777254,162,1906,2068
GJ Maxwell,2772,1842,233,160,41,965,1311,150.4885993485342,8.151295336787564,3339,1029,4368
DA Miller,2924,2171,207,134,0,0,0,134.68447719944726,,3411,0,3411
Z Khan,117,141,11,2,119,2276,2860,82.97872340425532,7.539543057996485,140,2981,3121
CH Morris,618,413,41,35,107,1801,2377,149.636803874092,7.91893392559689,743,2681,3424
PJ Cummins,515,359,33,34,66,1370,1976,143.4540389972145,8.654014598540146,630,1654,2284
S Nadeem,39,88,2,0,54,1444,1800,44.31818181818182,7.4792243767313025,39,1356,1395
A Mishra,381,440,31,5,183,3444,4193,86.5909090909091,7.304878048780488,430,4581,5011
CR Brathwaite,181,120,10,16,16,266,384,150.83333333333334,8.661654135338345,237,404,641
Vishnu Vinod,56,58,3,3,0,0,0,96.55172413793105,,69,0,69
Iqbal Abdulla,88,86,9,1,45,943,1125,102.32558139534883,7.158006362672323,105,1131,1236
P Negi,365,301,27,16,38,733,954,121.2624584717608,7.80900409276944,436,956,1392
AP Tare,339,285,40,11,0,0,0,118.94736842105264,,411,0,411
B Stanlake,5,2,1,0,7,150,200,250.0,8.0,6,181,187
SW Billings,503,399,40,20,0,0,0,126.06516290726816,,595,0,595
KK Nair,1496,1192,161,39,0,0,0,125.503355704698,,1747,0,1747
SV Samson,4419,3270,352,206,0,0,0,135.1376146788991,,5195,0,5195
RR Pant,3297,2296,298,154,0,0,0,143.59756097560975,,3917,0,3917
Basil Thampi,32,37,1,1,26,539,862,86.48648648648648,9.595547309833025,35,652,687
Tejas Baroka,0,0,0,0,0,21,33,,9.428571428571429,0,0,0
SL Malinga,88,103,6,5,188,2974,3486,85.43689320388349,7.032952252858103,108,4706,4814
RV Uthappa,4954,3927,481,182,0,0,0,126.15227909345556,,5811,0,5811
MK Pandey,3859,3288,335,111,0,0,0,117.3661800486618,,4426,0,4426
Harbhajan Singh,833,636,79,42,161,3496,4101,130.9748427672956,7.0383295194508015,1008,4031,5039
SA Yadav,3594,2522,385,130,0,6,8,142.50594766058683,8.0,4253,0,4253
AS Rajpoot,26,41,2,1,24,567,844,63.41463414634146,8.931216931216932,30,604,634
AB de Villiers,5181,3487,414,253,0,0,0,148.58044164037855,,6115,0,6115
VR Aaron,50,73,2,2,46,1065,1527,68.4931506849315,8.60281690140845,60,1154,1214
CJ Anderson,538,436,40,31,14,315,525,123.39449541284404,10.0,652,352,1004
