player,runs,strike_rate,balls_faced
V Kohli,8014,128.51186658114176,6236
S Dhawan,6769,123.45431333211744,5483
RG Sharma,6630,127.91819409608335,5183
DA Warner,6567,135.4299855640338,4849
SK Raina,5536,132.53531242518554,4177
J Fraser-McGurk,330,220.00000000000003,150
Shahid Afridi,81,176.08695652173913,46
WG Jacks,230,172.93233082706766,133
PD Salt,653,169.6103896103896,385
T Stubbs,405,169.4560669456067,239
