player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate
B Stanlake,5,2,1,0,7,150,200,250.0,8.0
SW Billings,503,399,40,20,0,0,0,126.06516290726817,
KK Nair,1496,1192,161,39,0,0,0,125.503355704698,
SV Samson,4419,3270,352,206,0,0,0,135.1376146788991,
RR Pant,3297,2296,298,154,0,0,0,143.59756097560975,
Basil Thampi,32,37,1,1,26,539,862,86.48648648648648,9.595547309833025
Tejas Baroka,0,0,0,0,0,21,33,,9.428571428571429
SL Malinga,88,103,6,5,188,2974,3486,85.43689320388349,7.032952252858103
RV Uthappa,4954,3927,481,182,0,0,0,126.15227909345556,
MK Pandey,3859,3288,335,111,0,0,0,117.36618004866179,
Harbhajan Singh,833,636,79,42,161,3496,4101,130.9748427672956,7.0383295194508015
SA Yadav,3594,2522,385,130,0,6,8,142.50594766058683,8.0
AS Rajpoot,26,41,2,1,24,567,844,63.41463414634146,8.931216931216932
AB de Villiers,5181,3487,414,253,0,0,0,148.58044164037855,
VR Aaron,50,73,2,2,46,1065,1527,68.4931506849315,8.60281690140845
CJ Anderson,538,436,40,31,14,315,525,123.39449541284404,10.0
F du Plessis,4571,3435,422,166,0,6,16,133.07132459970887,16.0
RA Tripathi,2236,1650,223,84,0,6,12,135.51515151515153,12.0
NV Ojha,1554,1360,121,79,0,0,0,114.26470588235293,
V Shankar,1115,890,80,45,12,258,344,125.2808988764045,8.0
Mustafizur Rahman,13,23,0,1,70,1353,1792,56.52173913043478,7.946784922394679
UT Yadav,208,211,16,9,163,3190,4442,98.5781990521327,8.354858934169279
C de Grandhomme,303,229,18,18,7,230,323,132.31441048034935,8.426086956521738
I Sharma,57,71,4,2,96,2429,3255,80.28169014084507,8.04034582132565
V Kohli,8014,6236,708,273,5,264,371,128.51186658114176,8.431818181818182
S Badree,13,25,0,0,11,263,329,52.0,7.505703422053232
AJ Tye,91,79,6,5,48,714,1005,115.18987341772151,8.445378151260504
RA Jadeja,2959,2378,215,107,169,3895,4917,124.4322960470984,7.5743260590500645
Ankit Sharma,87,69,7,4,12,375,453,126.08695652173914,7.248
SN Thakur,307,228,27,13,100,1979,2908,134.64912280701756,8.816574027286508
LH Ferguson,68,48,6,2,57,1002,1451,141.66666666666669,8.688622754491018
KC Cariappa,24,21,0,2,8,224,349,114.28571428571428,9.348214285714285
SS Iyer,3131,2545,272,113,0,6,7,123.02554027504911,7.0
EJG Morgan,1406,1181,112,64,0,0,0,119.05165114309906,
Ishan Kishan,2644,1991,255,119,0,0,0,132.79758915118032,
MM Patel,39,41,5,0,82,1382,1733,95.1219512195122,7.523878437047757
AF Milne,23,31,0,1,9,217,339,74.19354838709677,9.373271889400922
JD Unadkat,197,170,16,7,109,2194,3219,115.88235294117648,8.803099361896079
NM Coulter-Nile,82,75,7,4,52,892,1125,109.33333333333333,7.567264573991032
AD Mathews,724,599,44,29,28,807,1095,120.86811352253757,8.141263940520446
Mohammed Shami,74,82,6,2,144,2521,3486,90.2439024390244,8.296707655692185
Mohammad Nabi,221,157,18,12,15,419,527,140.76433121019107,7.5465393794749405
BB Sran,10,14,0,0,20,516,767,71.42857142857143,8.918604651162791
S Kaul,20,36,1,0,63,1238,1772,55.55555555555556,8.588045234248789
J Yadav,40,38,2,1,9,398,447,105.26315789473684,6.738693467336684
KS Williamson,2132,1734,187,64,0,18,31,122.95271049596307,10.333333333333334
Mohammed Siraj,109,122,10,4,96,2081,2894,89.34426229508196,8.34406535319558
SE Marsh,2489,1913,269,78,0,0,0,130.10977522216413,
JP Faulkner,527,406,36,23,76,1287,1849,129.80295566502463,8.62004662004662
Shakib Al Hasan,795,665,73,21,71,1515,1864,119.54887218045114,7.3821782178217825
K Rabada,206,207,16,8,126,1907,2652,99.51690821256038,8.34399580492921
